Obec;Okres;Kraj
Sliepkovce;Okres Michalovce;Kosicky kraj
Slivnik;Okres Trebisov;Kosicky kraj
Slizke;Okres Rimavska Sobota;Banskobystricky kraj
Slopna;Okres Povazska Bystrica;Trenciansky kraj
Slovany;Okres Martin;Zilinsky kraj
Slovenska Kajna;Okres Vranov nad Toplou;Presovsky kraj
Slovenska Lupca;Okres Banska Bystrica;Banskobystricky kraj
Slovenska Nova Ves;Okres Trnava;Trnavsky kraj
Slovenska Ves;Okres Kezmarok;Presovsky kraj
Slovenska Volova;Okres Humenne;Presovsky kraj
Slovenske Darmoty;Okres Velky Krtis;Banskobystricky kraj
Slovenske Klacany;Okres Velky Krtis;Banskobystricky kraj
Slovenske Krive;Okres Humenne;Presovsky kraj
Slovenske Nove Mesto;Okres Trebisov;Kosicky kraj
Slovenske Pravno;Okres Turcianske Teplice;Zilinsky kraj
Slovensky Grob;Okres Pezinok;Bratislavsky kraj
Slovinky;Okres Spisska Nova Ves;Kosicky kraj
Smigovec;Okres Snina;Presovsky kraj
Smilno;Okres Bardejov;Presovsky kraj
Smizany;Okres Spisska Nova Ves;Kosicky kraj
Smolenice;Okres Trnava;Trnavsky kraj
Smolinske;Okres Senica;Trnavsky kraj
Smolnicka Huta;Okres Gelnica;Kosicky kraj
Smolnik;Okres Gelnica;Kosicky kraj
Smrdaky;Okres Senica;Trnavsky kraj
Smrecany;Okres Liptovsky Mikulas;Zilinsky kraj
Snakov;Okres Bardejov;Presovsky kraj
Sneznica;Okres Kysucke Nove Mesto;Zilinsky kraj
Snina;Okres Snina;Presovsky kraj
Soblahov;Okres Trencin;Trenciansky kraj
Sobos;Okres Svidnik;Presovsky kraj
Sobotiste;Okres Senica;Trnavsky kraj
Sobrance;Okres Sobrance;Kosicky kraj
Socovce;Okres Martin;Zilinsky kraj
Sokol;Okres Kosice - okolie;Kosicky kraj
Sokolany;Okres Kosice - okolie;Kosicky kraj
Sokolce;Okres Komarno;Nitriansky kraj
Sokolovce;Okres Piestany;Trnavsky kraj
Sol;Okres Vranov nad Toplou;Presovsky kraj
Solcany;Okres Topolcany;Nitriansky kraj
Solcianky;Okres Topolcany;Nitriansky kraj
Solnicka;Okres Trebisov;Kosicky kraj
Solnik;Okres Stropkov;Presovsky kraj
Solosnica;Okres Malacky;Bratislavsky kraj
