Obec;Okres;Kraj
Mnisek nad Hnilcom;Okres Gelnica;Kosicky kraj
Mnisek nad Popradom;Okres Stara Lubovna;Presovsky kraj
Moca;Okres Komarno;Nitriansky kraj
Mocenok;Okres Sala;Nitriansky kraj
Mociar;Okres Banska Stiavnica;Banskobystricky kraj
Modra;Okres Pezinok;Bratislavsky kraj
Modra nad Cirochou;Okres Humenne;Presovsky kraj
Modrany;Okres Komarno;Nitriansky kraj
Modrova;Okres Nove Mesto nad Vahom;Trenciansky kraj
Modrovka;Okres Nove Mesto nad Vahom;Trenciansky kraj
Modry Kamen;Okres Velky Krtis;Banskobystricky kraj
Mojmirovce;Okres Nitra;Nitriansky kraj
Mojs;Okres Zilina;Zilinsky kraj
Mojtin;Okres Puchov;Trenciansky kraj
Mojzesovo;Okres Nove Zamky;Nitriansky kraj
Mokra Luka;Okres Revuca;Banskobystricky kraj
Mokrance;Okres Kosice - okolie;Kosicky kraj
Mokroluh;Okres Bardejov;Presovsky kraj
Mokry Haj;Okres Skalica;Trnavsky kraj
Molca;Okres Banska Bystrica;Banskobystricky kraj
Moldava nad Bodvou;Okres Kosice - okolie;Kosicky kraj
Moravany;Okres Michalovce;Kosicky kraj
Moravany nad Vahom;Okres Piestany;Trnavsky kraj
Moravske Lieskove;Okres Nove Mesto nad Vahom;Trenciansky kraj
Moravsky Svaty Jan;Okres Senica;Trnavsky kraj
Moskovec;Okres Turcianske Teplice;Zilinsky kraj
Mosovce;Okres Turcianske Teplice;Zilinsky kraj
Most pri Bratislave;Okres Senec;Bratislavsky kraj
Mostenica;Okres Banska Bystrica;Banskobystricky kraj
Mostova;Okres Galanta;Trnavsky kraj
Mosurov;Okres Presov;Presovsky kraj
Motesice;Okres Trencin;Trenciansky kraj
Motycky;Okres Banska Bystrica;Banskobystricky kraj
Mrazovce;Okres Stropkov;Presovsky kraj
Mucin;Okres Lucenec;Banskobystricky kraj
Mudronovo;Okres Komarno;Nitriansky kraj
Mudrovce;Okres Kosice - okolie;Kosicky kraj
Mula;Okres Velky Krtis;Banskobystricky kraj
Muran;Okres Revuca;Banskobystricky kraj
Muranska Dlha Luka;Okres Revuca;Banskobystricky kraj
Muranska Huta;Okres Revuca;Banskobystricky kraj
Muranska Lehota;Okres Revuca;Banskobystricky kraj
Muranska Zdychava;Okres Revuca;Banskobystricky kraj
Mutne;Okres Namestovo;Zilinsky kraj
Muzla;Okres Nove Zamky;Nitriansky kraj
Myjava;Okres Myjava;Trenciansky kraj
Myslina;Okres Humenne;Presovsky kraj
Mytna;Okres Lucenec;Banskobystricky kraj
Mytne Ludany;Okres Levice;Nitriansky kraj
Myto pod Dumbierom;Okres Brezno;Banskobystricky kraj
Nacina Ves;Okres Michalovce;Kosicky kraj
Nadlice;Okres Partizanske;Trenciansky kraj
Nagov;Okres Medzilaborce;Presovsky kraj
Nahac;Okres Trnava;Trnavsky kraj
Nalepkovo;Okres Gelnica;Kosicky kraj
Namestovo;Okres Namestovo;Zilinsky kraj
Nana;Okres Nove Zamky;Nitriansky kraj
Nandraz;Okres Revuca;Banskobystricky kraj
Narad;Okres Dunajska Streda;Trnavsky kraj
Necpaly;Okres Martin;Zilinsky kraj
Nedanovce;Okres Partizanske;Trenciansky kraj
Nedasovce;Okres Banovce nad Bebravou;Trenciansky kraj
Neded;Okres Sala;Nitriansky kraj
Nededza;Okres Zilina;Zilinsky kraj
Nedozery-Brezany;Okres Prievidza;Trenciansky kraj
Nechvalova Polianka;Okres Humenne;Presovsky kraj
Nemce;Okres Banska Bystrica;Banskobystricky kraj
Nemcice;Okres Topolcany;Nitriansky kraj
Nemcinany;Okres Zlate Moravce;Nitriansky kraj
Nemcovce, okres Bardejov;Okres Bardejov;Presovsky kraj
Nemcovce, okres Presov;Okres Presov;Presovsky kraj
Nemecka;Okres Brezno;Banskobystricky kraj
Nemecky;Okres Topolcany;Nitriansky kraj
Nemesany;Okres Levoca;Presovsky kraj
Nemsova;Okres Trencin;Trenciansky kraj
Nenince;Okres Velky Krtis;Banskobystricky kraj
Neporadza, okres Rimavska Sobota;Okres Rimavska Sobota;Banskobystricky kraj
Neporadza, okres Trencin;Okres Trencin;Trenciansky kraj
Neslusa;Okres Kysucke Nove Mesto;Zilinsky kraj
Nesvady;Okres Komarno;Nitriansky kraj
Neverice;Okres Zlate Moravce;Nitriansky kraj
Nevidzany, okres Prievidza;Okres Prievidza;Trenciansky kraj
Nevidzany, okres Zlate Moravce;Okres Zlate Moravce;Nitriansky kraj
Nevolne;Okres Ziar nad Hronom;Banskobystricky kraj
Nezbudska Lucka;Okres Zilina;Zilinsky kraj
Nimnica;Okres Puchov;Trenciansky kraj
Nitra;Okres Nitra;Nitriansky kraj
Nitra nad Iplom;Okres Lucenec;Banskobystricky kraj
Nitrianska Blatnica;Okres Topolcany;Nitriansky kraj
Nitrianska Streda;Okres Topolcany;Nitriansky kraj
Nitrianske Hrnciarovce;Okres Nitra;Nitriansky kraj
Nitrianske Pravno;Okres Prievidza;Trenciansky kraj
Nitrianske Rudno;Okres Prievidza;Trenciansky kraj
Nitrianske Sucany;Okres Prievidza;Trenciansky kraj
Nitrica;Okres Prievidza;Trenciansky kraj
Nizna Boca;Okres Liptovsky Mikulas;Zilinsky kraj
Nizna Hutka;Okres Kosice - okolie;Kosicky kraj
Nizna Jablonka;Okres Humenne;Presovsky kraj
Nizna Jedlova;Okres Svidnik;Presovsky kraj
Nizna Kamenica;Okres Kosice - okolie;Kosicky kraj
Nizna Mysla;Okres Kosice - okolie;Kosicky kraj
Nizna Olsava;Okres Stropkov;Presovsky kraj
Nizna Pisana;Okres Svidnik;Presovsky kraj
Nizna Polianka;Okres Bardejov;Presovsky kraj
Nizna Rybnica;Okres Sobrance;Kosicky kraj
Nizna Sitnica;Okres Humenne;Presovsky kraj
Nizna Slana;Okres Roznava;Kosicky kraj
Nizna Vola;Okres Bardejov;Presovsky kraj
Nizna, okres Priestany;Okres Piestany;Trnavsky kraj
Nizna, okres Tvrdosin;Okres Tvrdosin;Zilinsky kraj
Nizne Ladickovce;Okres Humenne;Presovsky kraj
Nizne Nemecke;Okres Sobrance;Kosicky kraj
Nizne Repase;Okres Levoca;Presovsky kraj
Nizne Ruzbachy;Okres Stara Lubovna;Presovsky kraj
Nizny Caj;Okres Kosice - okolie;Kosicky kraj
Nizny Hrabovec;Okres Vranov nad Toplou;Presovsky kraj
Nizny Hrusov;Okres Vranov nad Toplou;Presovsky kraj
Nizny Klatov;Okres Kosice - okolie;Kosicky kraj
Nizny Komarnik;Okres Svidnik;Presovsky kraj
Nizny Krucov;Okres Vranov nad Toplou;Presovsky kraj
Nizny Lanec;Okres Kosice - okolie;Kosicky kraj
Nizny Mirosov;Okres Svidnik;Presovsky kraj
Nizny Orlik;Okres Svidnik;Presovsky kraj
Nizny Skalnik;Okres Rimavska Sobota;Banskobystricky kraj
Nizny Slavkov;Okres Sabinov;Presovsky kraj
Nizny Tvarozec;Okres Bardejov;Presovsky kraj
Nizny Zipov;Okres Trebisov;Kosicky kraj
Nolcovo;Okres Martin;Zilinsky kraj
Norovce;Okres Topolcany;Nitriansky kraj
Nova Bana;Okres Zarnovica;Banskobystricky kraj
Nova Basta;Okres Rimavska Sobota;Banskobystricky kraj
Nova Bosaca;Okres Nove Mesto nad Vahom;Trenciansky kraj
Nova Bystrica;Okres Cadca;Zilinsky kraj
Nova Dedina;Okres Levice;Nitriansky kraj
Nova Dedinka;Okres Senec;Bratislavsky kraj
Nova Dubnica;Okres Ilava;Trenciansky kraj
Nova Kelca;Okres Vranov nad Toplou;Presovsky kraj
Nova Lehota;Okres Nove Mesto nad Vahom;Trenciansky kraj
Nova Lesna;Okres Poprad;Presovsky kraj
Nova Lubovna;Okres Stara Lubovna;Presovsky kraj
Nova Polhora;Okres Kosice - okolie;Kosicky kraj
Nova Polianka;Okres Svidnik;Presovsky kraj
Nova Sedlica;Okres Snina;Presovsky kraj
Nova Ves;Okres Velky Krtis;Banskobystricky kraj
Nova Ves nad Vahom;Okres Nove Mesto nad Vahom;Trenciansky kraj
Nova Ves nad Zitavou;Okres Nitra;Nitriansky kraj
Nova Vieska;Okres Nove Zamky;Nitriansky kraj
Novacany;Okres Kosice - okolie;Kosicky kraj
Novaky;Okres Prievidza;Trenciansky kraj
Nove Hony;Okres Lucenec;Banskobystricky kraj
Nove Mesto nad Vahom;Okres Nove Mesto nad Vahom;Trenciansky kraj
Nove Sady;Okres Nitra;Nitriansky kraj
Nove Zamky;Okres Nove Zamky;Nitriansky kraj
Novosad;Okres Trebisov;Kosicky kraj
Novot;Okres Namestovo;Zilinsky kraj
Novy Ruskov;Okres Trebisov;Kosicky kraj
Novy Salas;Okres Kosice - okolie;Kosicky kraj
Novy Svet;Okres Senec;Bratislavsky kraj
Novy Tekov;Okres Levice;Nitriansky kraj
Novy Zivot;Okres Dunajska Streda;Trnavsky kraj
Nyrovce;Okres Levice;Nitriansky kraj
Obeckov;Okres Velky Krtis;Banskobystricky kraj
Obid;Okres Nove Zamky;Nitriansky kraj
Obisovce;Okres Kosice - okolie;Kosicky kraj
Oborin;Okres Michalovce;Kosicky kraj
Obrucne;Okres Stara Lubovna;Presovsky kraj
Obyce;Okres Zlate Moravce;Nitriansky kraj
Ockov;Okres Nove Mesto nad Vahom;Trenciansky kraj
Ocova;Okres Zvolen;Banskobystricky kraj
Odorin;Okres Spisska Nova Ves;Kosicky kraj
Ohrady;Okres Dunajska Streda;Trnavsky kraj
Ohradzany;Okres Humenne;Presovsky kraj
Ochodnica;Okres Kysucke Nove Mesto;Zilinsky kraj
Ochtina;Okres Roznava;Kosicky kraj
Okoc;Okres Dunajska Streda;Trnavsky kraj
Okolicna na Ostrove;Okres Komarno;Nitriansky kraj
Okruhle;Okres Svidnik;Presovsky kraj
Okruzna;Okres Presov;Presovsky kraj
Olcnava;Okres Spisska Nova Ves;Kosicky kraj
Oldza;Okres Dunajska Streda;Trnavsky kraj
Olejnikov;Okres Sabinov;Presovsky kraj
Olesna;Okres Cadca;Zilinsky kraj
Olka;Okres Medzilaborce;Presovsky kraj
Olovary;Okres Velky Krtis;Banskobystricky kraj
Olsavce;Okres Bardejov;Presovsky kraj
Olsavica;Okres Levoca;Presovsky kraj
Olsavka, okres Spisska Nova Ves;Okres Spisska Nova Ves;Kosicky kraj
Olsavka, okres Stropkov;Okres Stropkov;Presovsky kraj
Olsinkov;Okres Medzilaborce;Presovsky kraj
Olsov;Okres Sabinov;Presovsky kraj
Olsovany;Okres Kosice - okolie;Kosicky kraj
Omastina;Okres Banovce nad Bebravou;Trenciansky kraj
Omsenie;Okres Trencin;Trenciansky kraj
Ondavka;Okres Bardejov;Presovsky kraj
Ondavske Matiasovce;Okres Vranov nad Toplou;Presovsky kraj
Ondrasova;Okres Turcianske Teplice;Zilinsky kraj
Ondrasovce;Okres Presov;Presovsky kraj
Ondrejovce;Okres Levice;Nitriansky kraj
Opatka;Okres Kosice - okolie;Kosicky kraj
Opatovce;Okres Trencin;Trenciansky kraj
Opatovce nad Nitrou;Okres Prievidza;Trenciansky kraj
Opatovska Nova Ves;Okres Velky Krtis;Banskobystricky kraj
Opava;Okres Velky Krtis;Banskobystricky kraj
Opina;Okres Kosice - okolie;Kosicky kraj
Opoj;Okres Trnava;Trnavsky kraj
Oponice;Okres Topolcany;Nitriansky kraj
Oravce;Okres Banska Bystrica;Banskobystricky kraj
Oravka;Okres Rimavska Sobota;Banskobystricky kraj
Oravska Jasenica;Okres Namestovo;Zilinsky kraj
Oravska Lesna;Okres Namestovo;Zilinsky kraj
Oravska Polhora;Okres Namestovo;Zilinsky kraj
Oravska Poruba;Okres Dolny Kubin;Zilinsky kraj
Oravske Vesele;Okres Namestovo;Zilinsky kraj
Oravsky Biely Potok;Okres Tvrdosin;Zilinsky kraj
Oravsky Podzamok;Okres Dolny Kubin;Zilinsky kraj
Ordzovany;Okres Levoca;Presovsky kraj
Orechova;Okres Sobrance;Kosicky kraj
Orechova Poton;Okres Dunajska Streda;Trnavsky kraj
Oresany;Okres Topolcany;Nitriansky kraj
Oreske, okres Michalovce;Okres Michalovce;Kosicky kraj
Oreske, okres Skalica;Okres Skalica;Trnavsky kraj
Orlov;Okres Stara Lubovna;Presovsky kraj
Orovnica;Okres Zarnovica;Banskobystricky kraj
Ortutova;Okres Bardejov;Presovsky kraj
Osadka;Okres Dolny Kubin;Zilinsky kraj
Osadne;Okres Snina;Presovsky kraj
Oscadnica;Okres Cadca;Zilinsky kraj
Osikov;Okres Bardejov;Presovsky kraj
Oslany;Okres Prievidza;Trenciansky kraj
Osrblie;Okres Brezno;Banskobystricky kraj
Ostra Luka;Okres Zvolen;Banskobystricky kraj
Ostratice;Okres Partizanske;Trenciansky kraj
Ostrov, okres Piestany;Okres Piestany;Trnavsky kraj
Ostrov, okres Sobrance;Okres Sobrance;Kosicky kraj
Ostrovany;Okres Sabinov;Presovsky kraj
Ostry Grun;Okres Zarnovica;Banskobystricky kraj
Osturna;Okres Kezmarok;Presovsky kraj
Osuske;Okres Senica;Trnavsky kraj
Otrhanky;Okres Banovce nad Bebravou;Trenciansky kraj
Otrocok;Okres Revuca;Banskobystricky kraj
Ovciarsko;Okres Zilina;Zilinsky kraj
Ovcie;Okres Presov;Presovsky kraj
Ozdany;Okres Rimavska Sobota;Banskobystricky kraj
Ozdin;Okres Poltar;Banskobystricky kraj
Paca;Okres Roznava;Kosicky kraj
Padan;Okres Dunajska Streda;Trnavsky kraj
Padarovce;Okres Rimavska Sobota;Banskobystricky kraj
Pakostov;Okres Humenne;Presovsky kraj
Palarikovo;Okres Nove Zamky;Nitriansky kraj
Palin;Okres Michalovce;Kosicky kraj
Palota;Okres Medzilaborce;Presovsky kraj
Pana;Okres Nitra;Nitriansky kraj
Panicke Dravce;Okres Lucenec;Banskobystricky kraj
Panovce;Okres Kosice - okolie;Kosicky kraj
Papin;Okres Humenne;Presovsky kraj
Papradno;Okres Povazska Bystrica;Trenciansky kraj
Parchovany;Okres Trebisov;Kosicky kraj
Parihuzovce;Okres Snina;Presovsky kraj
Parnica;Okres Dolny Kubin;Zilinsky kraj
Partizanska Lupca;Okres Liptovsky Mikulas;Zilinsky kraj
Partizanske;Okres Partizanske;Trenciansky kraj
Paskova;Okres Roznava;Kosicky kraj
Pastina Zavada;Okres Zilina;Zilinsky kraj
Pastovce;Okres Levice;Nitriansky kraj
Pastuchov;Okres Hlohovec;Trnavsky kraj
Pata;Okres Galanta;Trnavsky kraj
Patas;Okres Dunajska Streda;Trnavsky kraj
Patince;Okres Komarno;Nitriansky kraj
Pavcina Lehota;Okres Liptovsky Mikulas;Zilinsky kraj
Pavlany;Okres Levoca;Presovsky kraj
Pavlice;Okres Trnava;Trnavsky kraj
Pavlova;Okres Nove Zamky;Nitriansky kraj
Pavlova Ves;Okres Liptovsky Mikulas;Zilinsky kraj
Pavlovce nad Uhom;Okres Michalovce;Kosicky kraj
Pavlovce, okres Rimavska Sobota;Okres Rimavska Sobota;Banskobystricky kraj
Pavlovce, okres Vranov nad Toplou;Okres Vranov nad Toplou;Presovsky kraj
Pazit;Okres Partizanske;Trenciansky kraj
Pcoline;Okres Snina;Presovsky kraj
Pecenady;Okres Piestany;Trnavsky kraj
Pecenany;Okres Banovce nad Bebravou;Trenciansky kraj
Pecenice;Okres Levice;Nitriansky kraj
Pecovska Nova Ves;Okres Sabinov;Presovsky kraj
Peder;Okres Kosice - okolie;Kosicky kraj
Perin-Chym;Okres Kosice - okolie;Kosicky kraj
Pernek;Okres Malacky;Bratislavsky kraj
Petkovce;Okres Vranov nad Toplou;Presovsky kraj
Petrikovce;Okres Michalovce;Kosicky kraj
Petrova;Okres Bardejov;Presovsky kraj
Petrova Lehota;Okres Trencin;Trenciansky kraj
Petrova Ves;Okres Skalica;Trnavsky kraj
Petrovany;Okres Presov;Presovsky kraj
Petrovce nad Laborcom;Okres Michalovce;Kosicky kraj
Petrovce, okres Rimavska Sobota;Okres Rimavska Sobota;Banskobystricky kraj
Petrovce, okres Sobrance;Okres Sobrance;Kosicky kraj
Petrovce, okres Vranov nad Toplou;Okres Vranov nad Toplou;Presovsky kraj
Petrovice;Okres Bytca;Zilinsky kraj
Petrovo;Okres Roznava;Kosicky kraj
Pezinok;Okres Pezinok;Bratislavsky kraj
Piestany;Okres Piestany;Trnavsky kraj
Pichne;Okres Snina;Presovsky kraj
Pila, okres Lucenec;Okres Lucenec;Banskobystricky kraj
Pila, okres Pezinok;Okres Pezinok;Bratislavsky kraj
Pila, okres Zarnovica;Okres Zarnovica;Banskobystricky kraj
Pincina;Okres Lucenec;Banskobystricky kraj
Pinkovce;Okres Sobrance;Kosicky kraj
Piskorovce;Okres Vranov nad Toplou;Presovsky kraj
Pitelova;Okres Ziar nad Hronom;Banskobystricky kraj
Plastovce;Okres Levice;Nitriansky kraj
Plave Vozokany;Okres Levice;Nitriansky kraj
Plavec;Okres Stara Lubovna;Presovsky kraj
Plavecke Podhradie;Okres Malacky;Bratislavsky kraj
Plavecky Mikulas;Okres Malacky;Bratislavsky kraj
Plavecky Peter;Okres Senica;Trnavsky kraj
Plavecky Stvrtok;Okres Malacky;Bratislavsky kraj
Plavnica;Okres Stara Lubovna;Presovsky kraj
Plechotice;Okres Trebisov;Kosicky kraj
Ples;Okres Lucenec;Banskobystricky kraj
Plesivec;Okres Roznava;Kosicky kraj
Plevnik-Drienove;Okres Povazska Bystrica;Trenciansky kraj
Pliesovce;Okres Zvolen;Banskobystricky kraj
Ploske, okres Kosice - okolie;Okres Kosice - okolie;Kosicky kraj
Ploske, okres Revuca;Okres Revuca;Banskobystricky kraj
Pobedim;Okres Nove Mesto nad Vahom;Trenciansky kraj
Pocarova;Okres Povazska Bystrica;Trenciansky kraj
Pocuvadlo;Okres Banska Stiavnica;Banskobystricky kraj
Podbiel;Okres Tvrdosin;Zilinsky kraj
Podbranc;Okres Senica;Trnavsky kraj
Podbrezova;Okres Brezno;Banskobystricky kraj
Podhajska;Okres Nove Zamky;Nitriansky kraj
Podhorany, okres Kezmarok;Okres Kezmarok;Presovsky kraj
Podhorany, okres Nitra;Okres Nitra;Nitriansky kraj
Podhorany, okres Presov;Okres Presov;Presovsky kraj
Podhorie, okres Banska Stiavnica;Okres Banska Stiavnica;Banskobystricky kraj
Podhorie, okres Zilina;Okres Zilina;Zilinsky kraj
Podhorod;Okres Sobrance;Kosicky kraj
Podhradie, okres Martin;Okres Martin;Zilinsky kraj
Podhradie, okres Prievidza;Okres Prievidza;Trenciansky kraj
Podhradie, okres Topolcany;Okres Topolcany;Nitriansky kraj
Podhradik;Okres Presov;Presovsky kraj
Podkonice;Okres Banska Bystrica;Banskobystricky kraj
Podkrivan;Okres Detva;Banskobystricky kraj
Podkylava;Okres Myjava;Trenciansky kraj
Podluzany, okres Banovce nad Bebravou;Okres Banovce nad Bebravou;Trenciansky kraj
Podluzany, okres Levice;Okres Levice;Nitriansky kraj
Podolie;Okres Nove Mesto nad Vahom;Trenciansky kraj
Podolinec;Okres Stara Lubovna;Presovsky kraj
Podrecany;Okres Lucenec;Banskobystricky kraj
Podskalie;Okres Povazska Bystrica;Trenciansky kraj
Podturen;Okres Liptovsky Mikulas;Zilinsky kraj
Podvysoka;Okres Cadca;Zilinsky kraj
Podzamcok;Okres Zvolen;Banskobystricky kraj
Pohorela;Okres Brezno;Banskobystricky kraj
Pohranice;Okres Nitra;Nitriansky kraj
Pohronska Polhora;Okres Brezno;Banskobystricky kraj
Pohronsky Bukovec;Okres Banska Bystrica;Banskobystricky kraj
Pohronsky Ruskov;Okres Levice;Nitriansky kraj
Pochabany;Okres Banovce nad Bebravou;Trenciansky kraj
Pokryvac;Okres Dolny Kubin;Zilinsky kraj
Polanovce;Okres Levoca;Presovsky kraj
Polany;Okres Trebisov;Kosicky kraj
Poliakovce;Okres Bardejov;Presovsky kraj
Polianka;Okres Myjava;Trenciansky kraj
Polichno;Okres Lucenec;Banskobystricky kraj
Polina;Okres Revuca;Banskobystricky kraj
Polny Kesov;Okres Nitra;Nitriansky kraj
Poloma;Okres Sabinov;Presovsky kraj
Polomka;Okres Brezno;Banskobystricky kraj
Poltar;Okres Poltar;Banskobystricky kraj
Poluvsie;Okres Prievidza;Trenciansky kraj
Pongracovce;Okres Levoca;Presovsky kraj
Poniky;Okres Banska Bystrica;Banskobystricky kraj
Poprad;Okres Poprad;Presovsky kraj
Poproc, okres Kosice - okolie;Okres Kosice - okolie;Kosicky kraj
Poproc, okres Rimavska Sobota;Okres Rimavska Sobota;Banskobystricky kraj
Popudinske Mocidlany;Okres Skalica;Trnavsky kraj
